"","Symbol","CAD1","CAD2","CAD3","CAD4","CAD5","CAD6","CAD10","CAD11","N10","N12","N13","N14","N15","RF2","RF3","RF4","RF8","RF9","RF11","RF12"
"1","MT-CYB",9384.55930132127,11923.5039503911,34985.4747081763,4216.00298751307,12402.4413183367,12763.2422388124,14090.6029431257,12610.50070352,59591.6905198778,104134.4733722,67784.30404395,7453.28177608927,415.460860202175,68937.585587847,43507.0228117736,88703.8801015815,60535.6542602595,49629.382824525,121074.822328742,58357.1304767173
"2","MT-ND4",10934.2964538035,12360.328040959,24509.2381415289,5360.27179089838,12871.5303032926,10679.4040591132,12703.6792164378,12715.8619420121,61462.1809471678,76185.0774187054,74439.8814961262,7009.57062777312,692.434767003625,114271.625805875,47385.6192219481,89380.0380780394,45171.8275218914,26944.8957022465,136849.847314972,102437.483802577
"3","MT-CO1",9722.28571644071,11516.7510834493,12963.1580920346,5587.18655703799,11594.0474618033,12417.7132878285,12888.903557787,8396.05116383669,41031.7071269303,45423.8783833205,50642.4389594163,11162.0372233356,830.92172040435,71960.8912015643,32459.8031332033,76398.0644916502,40916.70427837,28469.5967180228,46404.2553892806,41897.3926553959
"4","MT-CO3",8205.9264136993,10957.0042717434,17443.7581673424,5740.20990972336,13001.314416671,11768.6023161242,16286.189038143,15062.3187004298,37278.3686779358,48439.7540921884,40438.0542316749,7658.77407462333,415.460860202175,44606.5815922084,28608.1347417456,64224.6252993747,34483.7475256456,25709.2677857532,62112.5824742107,34312.408198121
"5","FN1",192.371263022342,249.538399563515,211.313998100786,748.609107229636,466.544198419069,162.100001696147,144.565339589619,632.167430952493,301.075936644872,648.877634282342,711.429519637387,177.332242809027,0,205.180638051765,94.2480655088268,109.015873363661,96.8540950725654,427.68228253532,71.2307683791863,1459.02874599135
"6","COL1A2",138.536021504896,178.317080449193,135.124152051885,504.138579737424,331.670511967011,128.684650469309,167.153673900497,448.714921578044,376.34492080609,195.518684529519,140.117420045816,138.517030863703,0,116.579907983958,117.329224408948,66.1882088279368,107.000714556358,470.541701040991,110.083914767833,1568.44473704365
"7","ACTB",777.02198590181,690.05544741877,1249.03562947764,1889.20954257112,2393.7958689793,821.164482276533,1314.6410568931,1294.70368947035,1084.09805545635,2931.55827616448,1809.01597666294,727.594953328024,0,1182.89746634389,766.486818474846,1670.27891689323,1224.05127772661,4008.7234840624,415.081113918713,2459.40352132671
"8","MT-ATP6",6347.89277812717,7713.00507741775,11965.5224075336,3373.85049516584,7503.72723493652,7111.78209195858,8520.31970206317,7759.54532894629,32266.8024340075,34072.7967546036,42242.0660147648,4937.14274292771,415.460860202175,51161.4812184531,20319.1135517397,48413.4302375952,25196.8234381161,13758.785242842,52719.8343347552,26516.1838887329
"9","MT-CO2",5702.58768313804,4504.35275998582,8569.36665664999,1882.92091163884,5782.60327385963,4853.75750692804,6451.22827918675,5680.83007069662,26514.9039428816,34279.3133651379,27672.3564267865,3497.93557060209,138.486953400725,37151.6850763276,16224.1312768766,47948.8149677834,26052.829154567,13957.5799925066,46377.0581868086,28079.7160710762
"10","MT-ND1",6299.08215915135,9499.34127387032,10046.9718242743,4573.4068454974,11624.5849002453,9605.84703033613,12983.7745618927,8976.7775195254,28589.8563868483,28653.263217801,34600.6624286948,5937.20526246016,415.460860202175,57949.5406606657,31079.7421739669,50881.8610844724,33121.3332549581,22098.13380102,31180.2975293291,22064.9627343724
"11","MT-ND5",3404.89957517343,3910.3142020397,5409.21359962516,2197.61448454146,2744.12814888307,3101.22897981839,4056.86484223368,3707.47605093903,24757.8787006705,30371.3836581042,27206.9664244914,3676.02889599828,138.486953400725,27473.998314886,13589.0323024461,27334.4324379217,21899.1721058836,28697.5723483721,42809.691795891,26337.0989401126
"12","MALAT1",6320.61625575833,6583.48771279727,2876.10032088432,2196.56637938608,3348.09082029103,4358.21495788324,3081.04880000376,3588.47982864209,1812.07270823947,2963.33006240052,6514.62599986826,3875.43253383504,969.408673805075,7555.93243613357,2625.48182488875,4137.41195575417,982.377250021735,1345.05621906097,2563.6601092109,4490.96818784481
"13","SAR1A",3043.84455539642,4617.25173991519,9943.43858399882,3869.86625994907,4469.49342085468,4378.1219756354,6496.40494780851,7714.92174558493,335.901884540361,339.71371437004,580.486454475523,5519.37092210757,276.97390680145,267.356588976543,296.208205884884,319.260771993578,225.07046854958,377.52764385847,343.202793099716,412.20799894399
"14","MT-ND4L",2144.79602205507,3601.68848587763,3118.47429106776,1752.16979350528,3407.46917281709,2749.30134455701,3501.19181818609,2589.4073789407,21412.3408673555,23561.2234775854,30440.5095049535,2027.52401220278,276.97390680145,60515.8530350859,22905.1650635074,42292.9676330354,20347.6617448164,14020.501266483,51279.677708616,25820.3875048166
"15","C7",284.608976822234,337.641809134566,2243.2202059694,733.149556187792,665.885810470853,354.771494940251,320.754347214467,420.205409986069,290.96517757844,205.294618755995,110.926290869604,745.860935419941,276.97390680145,216.061429463602,212.539004871946,149.247921866916,248.130967376382,873.602615498584,440.335659071334,1322.37040614643
"16","ACTC1",13722.9619644072,17258.7721000441,12792.9919201971,18746.9328616911,18688.06406431,12761.820308973,18323.6567929842,16769.1707640016,15165.0151819744,29632.0786322269,11120.9861838745,16029.9214508314,830.92172040435,3497.39723951873,20515.3034023907,28201.368192766,30282.1246394024,33945.5713590134,20246.374583124,13360.3624013092
"17","C6orf62",3151.51503843132,4350.83124989495,4454.58403031557,4422.47970312279,2792.47909308287,3428.98380780928,3876.15816774666,5173.85658195236,186.487333891973,259.062257001613,639.702745090124,4823.7414374404,692.434767003625,191.191049093691,209.653860009431,131.07860963964,134.673313148519,318.253979967647,216.930067336613,277.782638508301
"18","ACTG1",298.247238006653,312.318673449474,544.744125757304,676.551877797312,642.134469460428,263.057020296378,582.779025220652,535.483000336229,456.107575663501,1858.64949480874,1038.37016641096,347.814742333585,0,548.702766911161,375.068832126964,486.678006087771,713.953043677768,1714.37674022687,350.325869937635,2112.8451170141
"19","COL3A1",179.091903448039,130.836201039644,183.705134027317,430.771218860876,287.560878661935,95.2692992424722,112.94167155439,391.076126402964,867.27844436508,141.751046283901,248.541614128888,89.046662698095,0,149.222282219466,97.1332103713419,49.3167046168941,116.224914087078,325.549200138825,76.4111878976726,1212.95441509412
"20","FTL",264.51048665572,430.493306646572,229.100477840426,910.803380024577,944.964067343351,418.758337715046,641.508694428935,557.175020025776,906.598062956761,1404.06855327761,592.996938408185,462.738212995229,0,1813.98336823038,565.488393052961,1069.39380537686,1330.1295723299,6476.33170696341,972.623764595799,1835.0624785058
"21","EFEMP1",46.2983077050039,101.820108067143,108.311697518996,329.367045077932,318.946579282855,67.5416673733945,99.3886709678631,176.01524548089,83.1329078795543,296.944002129207,140.117420045816,141.561361212356,0,111.916711664599,53.8560374336153,41.5298565194898,47.0434176066746,395.765694286415,93.8951037725638,1305.84635851812
"22","MT-ND2",3471.65527465506,4278.55480012708,5620.26212787908,2006.0732673959,7486.76199135765,5583.91847948042,4589.9495319704,3371.55963174663,21253.9389753147,23914.3791015168,25050.9930267627,2436.98644409658,0,41914.3629171656,19116.9698590251,31274.5775752083,20111.5222368299,13927.4872093005,32551.1660444085,19016.9458407724
"23","COL1A1",27.6354239789558,17.4096557835011,26.0160449923079,80.9661232530478,90.7640531469826,23.4618423507581,49.6943354839315,55.7794792016906,215.696193417222,59.8775971371652,60.0503228767783,12.1773213946113,0,38.8599693279859,19.234299083434,14.2758881785746,25.8277586860174,172.349576544084,12.9510487962157,1029.40350765536
"24","PPP1CB",8549.0363529705,9231.33808786975,11995.7859700757,15789.9661920774,11433.725909983,15562.3111277498,6925.58329971519,5330.65889570823,528.006306802575,217.51453653909,1020.02145664305,14280.9536655304,1800.33039420943,1081.86154609113,1540.66735658307,720.283449009901,452.908196958377,247.12558329866,457.819574946225,825.309189651672
"25","AXL",390.126050196429,1155.36806563234,2361.61975766909,3710.81630262027,2967.22110194528,1209.35132844362,1798.03141114589,1175.70746717341,66.2816427688338,62.3215806937842,250.209678653243,1777.12784102608,138.486953400725,63.7303496978968,54.817752387787,24.6583523084471,47.9658375597467,141.344890816577,25.9020975924314,125.940038680612
"26","TTN",15230.7076285058,12840.4124883222,10395.5337332019,5912.8852340721,9898.37136609476,10472.5132674747,7779.42233666637,11644.2761693485,18988.0055267598,29436.5599476974,21045.9701037864,11633.1473447896,2215.7912544116,21553.2933880741,20677.8332296458,27836.6841402043,23110.3095042672,12200.3438337741,13924.9676656911,24373.8634435169
"27","MYL2",7749.40356563136,769.190246434684,7224.76188230264,689.653192239553,420.738040756106,10015.3628240948,673.132362464164,647.66173073074,27946.1380596188,31478.5082092526,12287.7973186608,328.026595067341,553.9478136029,19854.3355290545,36139.3245478642,57774.5194586915,35130.3639127491,519.784437196444,21767.4752642395,9404.86267579792
"28","BICC1",721.751137943899,810.867907249732,492.712035772688,1877.15633328425,1839.88066612902,673.994743894505,546.637690323247,1035.01922518692,17.9746827847685,8.55394244816646,23.3529033409693,2096.78252763463,138.486953400725,29.5335766892693,38.4685981668681,10.3824641298724,6.45693967150436,26.4451731205208,22.0167829535667,136.65833984492
"29","DES",12204.090350395,7710.36725078389,9661.5096066332,5271.44487897999,7844.72863087191,10613.995286499,6469.29894663545,5157.74251018299,16718.7018251828,29755.4998018362,9138.4914966786,4583.23933989682,1523.35648740798,15329.4807005039,25424.8582434373,38503.368225632,41938.7455863739,23973.9172875342,12029.5816743649,12037.0988033991
"30","TPM1",8256.5315407257,8092.85211269414,6627.18925702014,6857.49000535765,5721.52839697568,7672.02244869789,7788.45767039073,8273.33630959297,14813.3854499973,25362.4393588136,7903.28971639376,6220.32798488488,1384.86953400725,12742.9611420331,19928.657280346,33913.0212722121,23760.615571183,15313.5790418244,16969.7592376814,9282.94200005392
"31","SPARC",391.561656636894,429.438175993027,600.227323751103,725.026741233603,629.410536776272,454.306583701043,691.203029912866,1093.89756434426,917.832239697241,890.832006387622,521.270163860922,539.607554298713,138.486953400725,299.998963212051,365.451682585247,641.117160019624,528.546633110285,810.681341522173,361.981813854229,1056.64585644797
"32","SET",2946.22331744479,3697.1778100235,2905.03653419209,4095.7329209333,3087.67433135529,3348.64477188093,3067.49579941723,3999.38865876121,405.553780331339,315.27387880385,667.225809741981,5267.45258575654,830.92172040435,334.195736220679,340.447093776782,398.427060983855,250.898227235598,280.865976590359,406.015379761362,408.188636007374
"33","NPPA",2397.82165718706,24058.0340314914,201.226143920096,31671.6415852505,14215.1775947396,795.569745166615,32866.0264223275,29695.7551829978,498.797447277326,421.587163516776,842.37258479925,21102.5368942742,0,4473.55966903774,1417.56784244909,445.148149568281,852.316036638575,104140.17984609,1559.30627506437,2723.34168749778
"34","IFITM3",190.935656581877,121.867590484508,230.427827074727,353.7354899405,319.794841461798,169.920615813066,311.719013490116,212.581792957554,647.088580251666,1516.49179688208,969.145488650227,159.827343304273,0,1067.87195713305,476.048902314992,1229.02419137365,556.219231702447,1600.38892505221,290.751045475042,1625.16241403811
"35","MYH7",16671.6975931228,1387.49680941236,7540.93646991324,1110.72943841317,770.222058480936,16669.9944726735,2060.05608915207,890.612351253659,16442.341077367,15244.3474344109,4295.266150214,1891.29022910057,4431.5825088232,12502.0293321996,32710.8107362421,37977.7559790572,32550.3553040065,3777.10024362749,10922.9145547283,6881.14934748537
"36","CCN2",211.03414674839,904.774535415283,225.383899984382,897.440039293492,618.383128450003,121.57500127211,487.908021114964,744.346161347004,388.702515220619,328.715788365254,325.272582249216,1092.1535125792,138.486953400725,124.351901849555,139.448668354897,172.608466159129,63.6469767619715,1438.07027624349,192.970627063614,580.128050518139
"37","B2M",1345.88103793616,1192.82520383321,1637.41801543423,1854.36004615476,1875.50767764466,1456.76712050616,1558.59506745058,1990.70763550922,3221.96188916975,3318.92966988859,5397.02276855045,1726.13530768615,0,4339.88137454946,2587.01322672188,2454.1549586986,2376.1537991136,8825.39260208278,5787.82370702879,2450.02500780794
"38","MYL12A",1747.85084126643,7458.19102458651,2777.61100769916,1332.14165248704,2824.71305588273,3024.44476848863,2163.96242698211,6275.19141019019,4585.79094546406,28736.3586587261,27126.8993273224,3756.70365023758,415.460860202175,5118.6351598823,6783.93728672718,6675.92443550798,5555.73537735296,8057.57067906628,16434.2333699579,4703.99442348542
"39","IGFBP7",1693.29779652875,795.568512773322,1170.19108496013,1969.65161324647,1514.14798941462,1492.31536649216,926.121706745997,1223.42991049041,1945.75941145119,1500.60590376406,1456.22032976187,865.350901604564,0,1661.65228846468,1456.99815557013,2495.68481521809,2200.89400802991,1718.02435031246,1521.74823355534,1715.82137805288
"40","PTX3",8.97254025290774,12.6615678425462,2.92016831546313,8.38484124303408,36.4752736945818,0.710964919719942,0,32.2281435387545,1.12341767404803,36.6597533492848,32.5272582249216,2.28324776148962,0,4.66319631935831,0.961714954171702,3.89342404870217,2.76725985921615,160.494843765919,3.88531463886471,622.554659293523
"41","ATP5F1B",4857.73329292425,2438.4069403437,4261.85292149501,3146.93572902623,3272.59548636503,4796.16934843073,3668.34549208658,3507.90946979521,7392.08829523604,12285.9053391237,3077.57904743489,3007.79838446899,692.434767003625,5392.20934395132,8936.25535416345,11472.6228635091,12151.9604617712,5870.82843275562,10494.8823920134,5914.26926328847
"42","CAPZA1",348.13456181282,754.418417285047,1336.64067894153,1074.56981055259,799.062972565024,462.838162737682,528.567022874545,656.338538606559,124.699361819331,118.533202496021,291.077259499939,1046.48855734941,138.486953400725,143.004687126988,77.8989112879078,92.144369152618,66.4142366211877,171.437674022687,71.2307683791863,158.094942173534
"43","DCN",653.918733631916,1125.2968420063,1064.53408590974,1690.59361562675,1677.01432777182,931.364044833124,1161.04038357913,2245.43392386361,1063.87653732349,1402.8465614993,265.222259372437,1533.58141313386,0,673.054668760715,624.153005257434,707.30536884756,1188.0768995568,2179.44702613947,1015.36222562331,1315.22487203689
"44","MAP1B",2898.1305016892,5562.12124016521,1712.01504240197,3327.73386832915,5324.54169723,895.104833927407,5773.57824986041,2710.88268920216,312.310113385353,848.062294146789,478.734518489871,4141.050356755,0,516.060392675653,274.088761938935,378.959940740344,356.054101885812,1505.55106282689,381.408387048552,617.642104593215
"45","ACTA1",5977.86521809725,2620.4169780803,7837.46628885618,2449.94580069902,1213.01491588958,6829.52901882976,1495.34773138012,1944.22473617448,6519.19276250072,29837.3732509829,25361.2530282927,818.163781200446,138.486953400725,4703.61068745941,16837.7054176382,17625.5306684747,25082.4433639352,4336.09648924402,8866.93555832908,2982.81389485039
"46","IGFBP4",169.760461585014,153.521510090873,242.90490987716,455.139663723444,333.367036324899,130.817545228469,262.024678006185,237.37267260275,411.170868701579,876.168105047908,413.680002040028,124.056461707602,0,369.946908002426,431.810014423094,559.355254996878,630.935247901283,2968.24270714811,244.127269808666,928.472838358131
"47","CFH",127.41007159129,177.78951512242,126.363647105495,589.297123611989,251.933867146297,69.6745621325543,140.047672727443,404.711110207822,207.832269698886,98.9813340430691,80.9011294312152,306.716282626772,0,107.253515345241,100.018355233857,50.6145126331282,65.4918166681156,341.051543002579,77.7062927772942,372.014369577837
"48","GAPDH",2050.76380020459,1164.86424151425,1819.53033038039,1823.96499664876,1976.45087693897,1950.1767747918,1802.54907800806,1326.31206101798,5320.50610429148,6782.0543696177,3050.89001504521,1042.68314441359,138.486953400725,4762.67784083795,5249.04021986915,9187.18294692088,8174.48562412452,7856.04022183748,3519.44751037162,3778.64775630021
"49","DPYSL2",990.568443921015,1246.10930183726,1179.48252960024,1615.91612330597,1362.30905938368,1395.62413741025,1450.17106275837,1321.35388508894,179.746827847685,177.188807854877,167.640484697673,1788.54407983353,0,200.517441732407,299.093350747399,256.965987214343,261.04484671939,358.377690909127,128.215383082535,365.315431350145
